id,text,series_id,order
48,"Danka a Janka hrajú na šachovnici s veľkosou $5\times 5$ hru, pri ktorej sa striedajú v ťahoch. Tá, ktorá je na ťahu, zakryje dve ešte nezakryté políčka šachovnice kúskom domina veľkosti $2\times 1$ (resp. $1\times 2$). Prehráva hráčka, ktorá nemôže urobiť ťah. Pod dĺžkou (ukončenej) hry rozumieme počet ťahov, ktoré sa uskutočnili. Aká najdlhšia a aká najkratšia hra sa dá zahrať pri takýchto pravidlách? <br>
Nezabudnite uviesť okrem príkladu najdlhšej hry aj dôvody, pre ktoré žiadna iná hra nemôže by dlhšia. Podobne pre najkratšiu možnú hru.",5,2
49,"Daný je trojuholník $ABC$. Uvažujme bod $P$, ktorý leží v trojuholníku $ABC$ na osi strany $AB$. K nemu zostrojíme body $Q$ a $R$ ležiace mimo trojuholníka $ABC$ tak, aby trojuholníky $BQC$ a~$CRA$ boli podobné s trojuholníkom $APB$.
<br>
a) Nájdite všetky body $P$ také, že body $P$, $Q$, $C$, $R$ ležia na priamke.<br>
b) Predpokladajme, že body $P$, $Q$, $C$, $R$ neležia na priamke. Dokážte, že potom vytvárajú rovnobežník.<br>
V časti a) nestačí len nájsť tieto body. Treba aj zdôvodniť, prečo iné body nevyhovujú.",5,3
50,"Majme štyri navzájom rôzne kladné reálne èísla. Dokážte, že z nich vieme
vybra tri čísla a označiť ich $a$, $b$, $c$ tak, že rovnice $ax^2+x+b=0$ (s neznámou $x$), $by^2+y+c=0$ (s neznámou $y$) a~$cz^2+z+a=0$ (s neznámou $z$) buď všetky majú reálny koreň, alebo žiadna z nich nemá reálny koreň.",5,4
51,"a) Nájdite všetky dvojice prirodzených čísel také, že ich súčin je pänásobkom ich súčtu. <br>
b) Nájdite všetky trojice prirodzených čísel také, že ich súčin je pänásobkom ich súčtu.",6,1
52,"a) Dokážte, že pre všetky $k>1$ existuje $k$-tica prirodzených čísel takých, že ich súčin je pänásobkom ich súčtu.<br>
b) Rozhodnite, pre ktoré $k>1$ existuje $k$-tica navzájom rôznych prirodzených čísel takých, že ich súčin je pänásobkom ich súčtu.",6,2
53,"V rovine je daná priamka $p$ a bod $C$, ktorý na nej neleží. Po priamke $p$ sa pohybuje úsečka $AB$ pevnej dľžky $d$.
<br>
a) Zostrojte trojuholník $ABC$, ak okrem daného bodu $C$, priamky $p$ a dľžky $d$ poznáte veľkosť polomeru $R$ kružnice opísanej trojuholníku $ABC$.<br>
b) Pre ktorú polohu úsečky $AB$ má trojuholník $ABC$ najväčší obsah?<br>
c) Pre ktorú polohu úsečky $AB$ má kružnica vpísaná do trojuholníka $ABC$ najväčší polomer?<br>
V úlohách b) a c) treba nájsť všetky také polohy a zdôvodniť, prečo sú to len tie a žiadne iné.",6,3
54,"V rovine je daná priamka $p$ a bod $C$, ktorý na nej neleží. Po priamke $p$ sa pohybuje úsečka $AB$ pevnej dľžky $d$.<br>
a) Po akej dráhe sa pohybuje priesečník výšok $V$ trojuholníka $ABC$?<br>
b) Po akej dráhe sa pohybuje ťažisko $T$ trojuholníka $ABC$?<br>
c) Zostrojte trojuholník $ABC$, ak je daná dľžka úsečky $AB$, vzdialenosť bodu $C$ od priamky $AB$ a súčin dĺžok ťažníc z vrcholov $A$ a $B$.<br>
V úlohách a) a b) treba podrobne popísať, do ktorých bodov roviny sa môže uvažovaný bod ($V$, resp. $T$) dostať pri pohybe úsečky $AB$. Nezabudnite zdôvodniť, že sú to všetky také body, teda že do iných bodov sa uvažovaný bod dostať nemôže.}",6,4
55,"V poslednej dobe nadobudol veľkú popularitu japonský hlavolam SUDOKU. 
Klasické sudoku je tabuľka veľkosti $9\times 9$ rozdelená na 9 štvorcov veľkosti $3\times 3$, 
pričom v niektorých políčkach tabuľky sú vpísané čísla od 1 po 9. Takúto tabuľku nazvime zadanie. 
Úlohou je doplniť do všetkých ostatných políčok čísla od 1 po 9 tak, aby v každom stĺpci, riadku, štvorci 
$3\times 3$ bolo každé číslo práve raz. Takto vyplnenú tabuľku nazvime riešením daného zadania. 
<br>
Uvažujme menšie a jednoduchšie sudoku: Tabuľku veľkosti $4\times 4$ rozdelenú na 4 štvorce veľkosti 
$2\times 2$ chceme vyplni číslami od 1 po 4 tak, aby v každom riadku, každom ståpci, každom štvorci 
$2\times 2$ bolo každé èíslo práve raz.<br>
a) Koľko existuje všetkých možných riešení takéhoto sudoku $4\times 4$?<br>
b) Nájdite také zadanie sudoku veľkosti $4\times 4$, v ktorom sú vpísané len 4 čísla, a pritom má jediné riešenie.<br>
c) Dokážte, že ak zadanie sudoku $4\times 4$ má jediné riešenie, tak sú v òom už vpísané aspoň 4 čísla (alebo ekvivalentne: 
dokážte, že ak sú zadané najviac tri čísla, tak také sudoku buď nemá riešenie, alebo má viac ako jedno riešenie).",7,1
56,"Jožko si raz dlhú chvíľu v škole krátil tým, že sa snažil vyplni tabuľku $5 \times 5$ štvorčekov 
útvarmi z obrázku, (pričom ich mohol ľubovoľne otočiť alebo prevrátiť, nesmeli sa však prekrývať)
Okamžite prišiel na to, že sa mu minimálne 1 políčko musí zvýši. Nie vždy to však bolo to isté políčko. Viete Jožkovi povedať, 
ktoré políčka to môžu by?<br>
b) Ferko si všimol Jožkovu zábavku a hneď ju začal riešiť. Keďže sa mu Jožkova úloha zdala príliš ľahká, 
tak on si zobral ľubovoľnú tabuľku $n \times n$ štvorčekov. Koľko políčok sa najmenej Ferkovi zvýši? 
Ktoré políčka to môžu byť?<br>
Svoje tvrdenia nezabudnite poriadne zdôvodniť.
<center><img src=""https://seminar.strom.sk/media/problems/Screenshot_1.png"" alt=""ulohaStrom32-2"" </center>",7,2
57,"a) Paľko si do zošita píše postupnosti čísel. Začne celým číslom 0, a potom k nemu pripočíta nejaké prirodzené číslo $a$. Potom znova
pripočíta $a$, a znova, a znova. Paľkova postupnos teda vyzerá takto: $0, a, 2a, 3a, 4a,\dots$<br>
Jožko si zvolil prirodzené číslo $b$ a do zošita si začal písa zvyšky Paľkových čísel po delení číslom $b$ (presne v tom istom poradí, v akom
mal napísané èísla Paľko). Ukážte, že bez ohľadu na to, aké čísla si chlapci zvolia, bude od istého miesta Jožkova postupnosť obsahovať
presne tie isté čísla, ako na začiatku (teda je periodická).<br>
b) Aj Samko si začal písať do zošita čísla, ale namiesto sčítania nasobí a namiesto nuly začína jednotkou. Takže jeho postupnosť vyzerá
takto: $1, a, a^2, a^3, \dots$<br> 
Mirko si myslí, že keï si zvolí hocijaké prirodzené číslo $b$, začnú sa zvyšky Samkových čísel po delení číslom $b$ tiež od istého miesta opakovať. Má Mirko pravdu?<br>
c) Pani uciteľka si všimla hru chlapcov, a povedala: ""Nech $P(x)$ je lubovoľný polynóm s celočíselnými koeficientami. Vytvorme postupnosť čísel
$$
P(1)^1, P(2)^2,\dots,P(n)^n,\dots
$$
Čo viete o takejto postupnosti povedať?""
Dežko si hneď všimol, že nech si zvolí hocijaké prirodzené číslo $b$, zvyšky jednotlivých členov tejto postupnosti po delení číslom $b$ tvoria periodickú postupnosť. Dokážte, že Dežko má pravdu.",7,3
58,"Nech $ABC$ je ostrouhlý trojuholník s priesečníkom výšok $V$.<br>
a) Označme $V_a$, $V_b$, $V_c$ po poradí obrazy priesečníka výšok v osových súmernostiach podľa strán $BC$, $CA$, $AB$. Dokážte, že body $V_a$, $V_b$, $V_c$ ležia na kružnici opísanej trojuholníku $ABC$.<br>
b) Označme $U_a$, $U_b$, $U_c$ po poradí obrazy priesečníka výšok v stredových súmernostiach podľa stredov strán $BC$, $CA$, $AB$. Dokážte, že body $U_a$, $U_b$, $U_c$ ležia na kružnici, ktorej polomer je rovnaký ako polomer kružnice opísanej trojuholníku $ABC$.<br>
c) Označme $U_a$, $U_b$, $U_c$ po poradí obrazy priesečníka výšok v stredových súmernostiach podľa stredov strán $BC$, $CA$, $AB$. Dokážte, že trojuholníky $U_aU_bU_c$ a $ABC$ sú zhodné.",7,4
59,"Dada dostala v Nórsku úžasnú kalkulačku. Ak zadáte prirodzené èíslo $n$ a stlačíte tlačidlo 
označené symbolom $\ast$, v kalkulačke to zarachotí a na displeji sa objaví prirodzené èíslo, 
nazvime ho $n^\ast$. Dada s pomocou slovníka a návodu na použitie kalkulačky zistila, že s číslom $n$ 
sa deje toto: <br>
Prirodzené číslo $n$ sa prevedie do dvojkovej sustavy. Počet jednotiek a počet núl (za prvou jednotkou) 
v získanom čísle sa zväčší o jedna. Získané dve čísla sa spolu vynásobia, výsledný súčin sa objaví na displeji. 
Napríklad 13 ($8+4+1$) v dvojkovej sústave je $1101$, takže $13^\ast$ je $(3+1)(1+1)$ čiže 8. Keď zadáme 
$8 = 1000_2$, kalkulačka vyráta $8^\ast=(1+1)(3+1)$, čiže opäť 8. <br>
a) Zistite $2008^\ast$.<br>
b) Zistite, pre koľko prirodzených čísel $n$ (vrátane 2008) platí $n^\ast=2008^\ast$.<br>
c) Zistite, pre koľko prirodzených čísel $n$ platí $n^\ast=n$. Ktoré sú to čísla?",8,1
60,"Majme trojuholník $ABC$. Nech $P$ je priesečník osi uhla $BAC$ a osi strany $BC$. 
Ďalej nech body $K$, $L$, $M$ sú postupne päty kolmíc z bodu $P$ na priamky $AB$, $BC$, $CA$. Dokážte, že<br>
a) trojuholníky $PKB$ a $PMC$ sú podobné,<br>
b) štvoruholník $ABPC$ je tetivový,<br>
c) body $K$, $L$, $M$ sú kolineárne.",8,2
61,"Fibonacciho postupnosť $(F_n)$ je definovaná vzťahom $F_{n+2}=F_{n+1}+F_n$ pre $n\ge 1$ a počiatočnými hodnotami $F_1 = 1$,
$F_2 = 1$.<br>
a) Dokážte, že existuje Fibonacciho číslo deliteľné číslom 2008. <br>
b) Existuje aritmetická postupnosť, ktorá neobsahuje žiadne Fibonacciho číslo?",8,3
62,"Daný je ostrouhlý trojuholník $ABC$ s priesečníkom výšok $V$.<br>
a) Dokážte, že kružnice opísané trojuholníkom $ABV$, $BCV$, $CAV$ sú zhodné.<br>
b) V rovine sú dane tri zhodné kružnice prechádzajúce bodom $H$. Označme priesečníky dvojíc týchto kružníc $A$, $B$, $C$ (tieto body su rôzne od bodu $H$). Dokážte, že bod $H$ je ortocentrom trojuholníka $ABC$. <br>
c) Daná je kružnica $k$ a jej tetiva $AB$. Po jednom z oblúkov tejto kružnice sa pohybuje bod $C$ rôzny od bodov $A$ a $B$. Po akej dráhe sa pohybuje priesečník výšok trojuholníka $ABC$?",8,4
63,"Slepý Kleofáš má na stole 100 mincí, z ktorých je jedna otočená lícom hore a zvyšné sú 
otočené rubom hore. Kleofáš hmatom nerozozná rub od líca, môže však mince presúva a otáča}. Raz k nemu zostúpil dobrý anjel a ponúkol mu, že ak rozdelí mince na dve kôpky
tak, aby bol v každej kôpke rovnaký počet mincí otočených lícom hore, prinavráti mu
stratený zrak. Ako môže Kleofáš získa stratený zrak? A čo v prípade, že na začiatku bolo zo 100 mincí
20 otočených lícom hore?",9,1
64,"Ukážte, že rovnica $15x^2 - 7y^2 = 9$ nemá žiadne celočíselné riešenie.",9,2
65,"Je daný ostrouhlý trojuholník $ABC$. Označme $S$ stred kružnice $k$ jemu vpísanej, 
$A_1$, $B_1$, $C_1$ body dotyku kružnice $k$ a strán $BC$, $CA$, $AB$ trojuholníka.
Označme ïalej $X$ prieseèník priamok $B_1C_1$ a $CS$, $Y$ priesečník priamok $B_1C_1$ a $BS$.
Dokážte, že <br>
a) body $B,X,Y,C$ ležia na jednej kružnici, <br>
b) body $B,X,C_1,S,A_1$ ležia na jednej kružnici.",9,3
66,"a) Nájdite všetky dvojice prirodzených čísel $a_1$, $a_2$, pre ktoré platí
$$
a_1 \mid a_2+1,
\qquad
2a_2 \mid a_1+2.
$$
b) Nájdite všetky trojice prirodzených čísel $a_1,a_2,a_3$, pre ktoré platí
$$
a_1 \mid a_2+1,
\qquad
2a_2 \mid a_3+2,
\qquad
3a_3 \mid a_1+3.
$$",9,4
67,"Janko vie písa iba číslice 2 a 9. Môže napísa číslo, ktoré má práve
2009 číslic a je deliteľné $2^{2009}$? Koľko takých èísel môže napísať?",10,1
68,"Nech $a$, $b$ a $c$ sú <br>
a) prirodzené <br>
b) kladné reálne èísla.<br>
Dokážte, že 
$$ a^a*b^b*c^c \ge (abc)^{\frac{a+b+c}{3}}.$$",10,2
69,"V rovine je daný trojuholník $UVS$. <br>
a) Zostrojte trojuholník $ABC$ taký, že body $U$, $V$, $S$ sú (v tomto poradí) stred strany $AC$, stred strany $BC$ a päta výšky z vrchola $C$. Nezabudnite zdôvodni, že vami zostrojený trojuholník $ABC$ má všetky požadované vlastnosti. Koľko má úloha riešení v závislosti od tvaru daného trojuholníka $UVS$?<br>
b) Aké podmienky musí spĺňať trojuholník $UVS$, aby sa dal zostrojiť trojuholník $ABC$, v ktorom sú body $U$ a $V$ pätami výšok z vrcholov $A$ a $B$ a bod $S$ je stredom strany $AB$?<br>
c) Zostrojte trojuholník $ABC$ z časti b), ak o ňom navyše viete, že je pravouhlý.",10,3
70,"Je daný ostrouhlý trojuholník $ABC$. Označme $S$ stred kružnice $k$ jemu vpísanej, $A_1$, $B_1$, $C_1$ body dotyku kružnice $k$ a strán $BC$, $CA$, $AB$ trojuholníka. Označme ďalej $X$ priesečník priamok $B_1C_1$ a $CS$, $Y$ priesečník priamok $B_1C_1$ a $BS$, $Z$ stred strany $BC$. Dokážte, že <br>
a) priamky $YZ$ a $AB$ sú rovnobežné, <br>
b) trojuholník $XYZ$ je rovnostranný práve vtedy, keï veľkosť uhla $\alpha$ je $60^\circ$, <br>
c) spojnica $B_1C_1$ bodov dotyku kružnice vpísanej danému trojuholníku, os uhla $CS$ a stredná priečka rovnobežná s $AC$ sa pretínajú v jednom bode.",10,4
71,"Vlada a Tomáša jedného dňa prestalo bavi študovať matematiku a tak sa rozhodli že ako správni spolubývajúci sa presahujú niekam, kde je čistý vzduch a kde nie sú žiadne problémy. Preto sa dohodli, že si kúpia pozemok. Štúdium matematiky v nich ale zanechalo hlboké stopy. Kúpili si pozemok v tvare tetivového štvoruholníka. Po bratsky si chceli rozdeli pozemok na dve polovice s rovnakým obvodom a obsahom. Vypočítali si, že musia zapichnú kôl do jednej strany štvoruholníka a spojiť ho s protiľahlým vrcholom (sú dva, vyberte si jeden :-). Ukážte, že ak takto získali dva pozemky s rovnakým obvodom a obsahom, potom musia ma dve strany pôvodného pozemku rovnakú dĺžku.",11,1
72,"Marek dostal na narodeniny sadu ""skoro eurokalkulačiek"". ""Skoro eurokalkulačky"" vedeli robi len jednu vec. Zadáš číslo, stlačíš veľké okrúhle tlačidlo a kalkulačka ti ukáže nejaké číslo. Marek sa chvíľu hral a zistil ako fungujú. Na zadnej strane každej eurokalkulačky je napísaný nejaký polynóm s celočíselnými koeficientami. Všetko, čo robila kalkulaèka nebolo nič iné ako to, že číslo dosadila do polynómu. Navyše si Marek v návode prečítal, že každá eurokalkulačka pri zadaní čísla 5 ukáže číslo 2005, tzv. ""eurokúzlo"". Marek si tieto kalkulačky obľúbil a tak skúšal, aké výsledky dostane, keï vyskúša aj iné èísla. Nepáčilo sa mu ale, že keď zadal čísla 30, alebo 2005 do kalkulačky, nikdy nedostal druhú mocninu celého čísla. Povedal si ale, že to bude určite len preto, že má málo kalkulačiek a tak si opýtal nové ""skoro eurokalkulačky"" aj na meniny. Je možné, aby dostal aj takú, ktorá mu ukáže druhú mocninu prirodzeného čísla, ak zadá 30 alebo 2005?",11,2
73,"Feri je milovníkom čokoládovej a vanilkovej zmrzliny. Každý deň si vyberie jednu z nich a dá si ju ako zákusok po obede.
Katka sa rozhodla, že si bude vies záznamy o tejto Ferkovej úchylke. Počas prvých dvoch týždòov v roku 2008 zistila, že Feri zjedol 10 čokoládových a 4 vanilkové zmrzliny. Po úmornom roku zapisovania prišla na to, že v roku 2008 zjedol  Feri 244 èokoládových a 122 vanilkových zmrzlín. <BR>
a) Ukážte, že existuje 7 dní po sebe počas prvých dvoch týžòov Katkinho zapisovania, počas ktorých Feri zjedol  práve 2 vanilkové zmrzliny.  <br>
b) Ukážte, že existuje 183 dní po sebe v roku 2008, keï Feri zjedol presne 122 čokoládových zmrzlín.<br>
Uvažujte, že Feri mohol jesť čokoládové a vanilkové zmrzliny v ľubovoľnom poradí. ",11,3
74,"Dávid rád vystrihuje rôzne útvary z papiera. Nedávno našiel starý papier na ktorom bola trojuholníková sieť, prčèom sa skladala z trojuholníkov a stranami dåžky 1. Papier bol dosť veťký na to, aby Dávid vedel vystrihnúť akýkoľvek útvar a navyše strihal len po čiarach. Vystrihnuté útvary nemusia by konvexné.<br>
a) Aký najmenší obsah môže ma vystrihnutý mnohouholník s obvodom 2009? Nájdite príklad a
ukážte, že žiaden iný nemá menší obsah.<br>
b) Musí by mnohouholník, ktorý má najväčší, obsah konvexný?<br>
c) Aký najväčší obsah môže ma vystrihnutý mnohouholník s obvodom 2009? Nájdite príklad a ukážte, že žiaden iný nemá väčší obsah.",11,4
75,"Vedúci STROMu si boli zase zahrať frisbee. Proti nim hral tím konkurenèného seminára, preto nechceli nič necha na náhodu a hľadali najlepšie postavenie. Najprv sa postavili na jednu čiaru Dávid a Feri. Rovnobežne s nimi, ale o niečo ďalej sa postavili Jakub s Katkou. Čiže tvorili štvoruholník $DFJK$. Pričom sa im podarilo postavi tak, že $DJ$ je kolmé na $FK$. Na priesečník priamok $DJ$ a $FK$ sa postavil Lučko ($L$). Marek a Robo sa postavili na polpriamky $LD$ a $LF$ tak, že platí $\angle DRJ = \angle FMK = 90$. O súperovi sme sa na poslednú chvíľu dozvedeli, že pre neho je neprekonateľná obrana, ktorá spľňa nasledujúce podmienky:<br>
	a) Trojuholnik $LMR$ je podobný s trojuholnikom $LFD$ <br>
	b) Štvoruholník $JKMR$ je tetivovy.<br>
	c)  Spojnica stredu úsečky $MR$ a bodu $L$ je kolmá na priamku $DF$.Nech $V$ je stred úsečky $MR$.<br> 
Overte a dokážte, že naše rozostavenie tvorí obranu neprekonateľnú pre tím konkurenčného seminára",12,1
76,"Tomáš s Kubom uzatvárali stávky, kto čo všetko možné dokáže. Kubo dal Tomášovi 70 prirodzených čísel menších ako 200. Ak Tomáš dokáže z nich vybra dve čísla $a$ a $b$ tak, že ich rozdiel bude jedno z čísel: 	4, 5 alebo 9 , tak Kubo mu dá do čaju cukor. V opačnom prípade mu dá do čaju soľ. Dokážte, že Tomáš môže mať 	sladký čaj a nie slaný. ",12,2
77,"Katka má rada prvočísla. Stále sa s nimi hrá a experimentuje. Naposledy jej Dávid zadal, aby našla všetky také prirodzené čísla
	$n$ a $p$, že čísla $p$, $p+2$, $2^n+p$ a $2^n+p+2$ budú prvočísla. Katke sa to nedarilo a tak vypísala súťaž, že každému kto nájde všetky dá pusu. Chcete by medzi nimi aj vy??? Tak nájdite všetky také $n$ a $p$.  ",12,3
78,"Každé pekné dievča, ktoré v poslednom období Tomáš a Vlado stretli ospevovalo filmy s pirátom Jackom Sparrowom a pritom si ich vôbec nevšímalo. Tak sa Tomáš s Vladom jedného dòa rozhodli, že sa z nich stanú piráti. Obidvaja si postavili lode a spravili si preteky na mori (ktoré považujeme za rovinu).  Vietor bol celý deò stály, teda obidve lode sa stále pohybovali rovnakou rýchlosťou a obidve stále udržovali svoj smer.  O $9:00$ boli od seba lode vzdialené $20$ km, o $9:35$ boli vzdialené $15$ km a o $9:55$ to bolo $13$ km. Pre ich budúcu pirátsku karieru, bolo najdôležitejšie zistiť kedy je najlepší moment pre streľbu z kanónov. Viete pre nich zisti kedy boli lode najbližšie 	a koľko km boli vzdialené?",12,4
79,"Je známe, že každý rovnostranný trojuholník vieme strednými priečkami rozdeliť na 4 menšie rovnostranné trojuholníky. Podobne vieme rozdeliť každý štvorec na 4 menšie štvorce. Dokážte, že pre každé $n \geq 6$ vieme ľubovoľný rovnostranný trojuholník rozdeliť na $n$ (nie nutne zhodných) rovnostranných trojuholníkov. Je pravda, že pre každé $n \geq 6$ vieme ľubovoľný štvorec rozdeliť na $n$ (nie nutne zhodných) štvorcov?",13,1
80,"Koľko je dvojíc kladných celých čísel $(a, b)$ takých, že $a$ a $b$ sú nesúdeliteľné a navyše
$$\frac{a}{b} + \frac{14b}{9a}$$
je celé číslo? Koľko by ich bolo, ak by $a$ a $b$ boli súdeliteľné?",13,2
81,"Tri kobylky sedia v troch vrcholoch štvorca. Každú minútu jedna z nich preskočí inú kobylku a dopadne do bodu, ktorý je stredovo sumerný s bodom, v ktorom pôvodne stála skáčuca kobylka podľa bodu, v ktorom sedí preskakovaná kobylka. Môže sa niektorej z kobyliek podariť doskákať do štvrtého vrchola štvorca?",13,3
82,"Predstavme si štvorčekovú mriežku, ktorá má každý štvorček ofarbený buď čiernou, alebo bielou farbou. Hovoríme, že štvorček je <i>ohrozený</i>, ak má čiernu farbu, v riadku naľavo od neho sa nachádza nejaký biely štvorček a v stĺpci nad štvorčekom sa nachádza nejaký biely štvorček. </br>
a) Koľko je rôznych mriežok $2 \times 7$, ktoré nemajú žiaden <i>ohrozený</i> štvorček? </br>
b) Koľko je rôznych mriežok $2\times n$ ($n$ je ľubovoľné prirodzené číslo), ktoré nemajú žiaden ohrozený štvorček?",13,4
83,"Janko s Marienkou sa hrajú s $11$ kamienkami. Na začiatku hry sú kamienky na jednej kôpke. Marienka začína (keďže Janko je džentlmen). Na striedačku berú z kôpky $1$, $2$, $3$ alebo $4$ kamienky na svoju kôpku, až kým nie je kôpka úplne rozdelená. Vyhráva ten, kto má po rozdelení všetkých kamienkov na svojej kôpke párny počet kamienkov. Koľko kamienkov má zobrať na začiatku Marienka, aby zaručene vyhrala? Koľko ich má zobrať, ak je na začiatku v kôpke $33$ kamienkov? Nezabudnite svoje tvrdenie poriadne zdôvodniť.",14,1
84,"Pre aké hodnoty parametra $b$ majú rovnice
$$2009x^2 + bx + 9002 = 0$$
$$9002x^2 + bx + 2009 = 0$$
spoločný reálny koreň?",14,2
85,"Majme ostrouhlý trojuholník $ABC$ s vnútornými uhlami väčšími ako $45^\circ$. Nad stranami $CA$ a $CB$ tohto trojuholníka ako základňami zvonku zostrojíme rovnoramenné pravouhlé trojuholníky $CAP$ a $CBQ$. Vnútri trojuholníka $ABC$ zostrojíme bod $R$ tak, aby $ARB$ bol rovnoramenný pravouhlý trojuholník so základňou $AB$. Dokážte, že $CQRP$ je rovnobežník.",14,3
86,"Rovnica $x^3 − 6x^2 + 5x − 1 = 0$ má tri reálne korene $a$, $b$ a $c$, pričom $a < b < c$. </br>
a) Určte hodnotu $a^5 + b^5 + c^5$. </br>
b) Ukážte, že číslo $c^{2004}$ je bližšie k svojmu najbližšiemu celému číslu, ako číslo $c^{2003}$ k svojmu najbližšiemu celému číslu.",14,4
87,"Gaba a Katka našli kopu čokolád. Celková váha všetkých čokolád je $S$ kg a najťažšia z nich má $M$ kg. Dievčatá pri delení čokolády postupujú takto: rozdelia všetky čokolády do dvoch kôpok a potom lósom rozhodnú, ktorá kôpka ktorej z nich pripadne.
<ul><li> a) Dokážte, že menšia kôpka má pri hocijakom rozdelení hmotnosť nanajvýš $S-M$. </li><li> b) Ukážte, že dievčatá vedia čokolády rozdeliť na dve kôpky tak, že hmotnosť menšej kôpky bude aspoň $(S-M)/2$.
 </li>
</ul>",15,1
